"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"DD","DMK","NST","18568.0","75.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","Apr2014","180","34020","189.0","12600","610.0","164.0","7.0"
"DD","DMK","NST","18250.0","76.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","May2014","186","35154","189.0","13020","610.0","164.0","7.0"
"DD","DMK","NST","17971.0","71.0","48842.9433628325","27724.7362831868","5692284.0","1548028.0","Nov2014","180","34020","189.0","12450","610.0","164.0","7.0"
"TG","BKK","CEI","10800.0","120.0","49191.0","13510.0","5686252.0","1204660.0","Apr2013","90.0","18544.0","206.04444444444445","7200.0","666.0","142.0","7.0"
"TG","BKK","KBV","14251.0","127.0","49191.0","27276.0","5686252.0","450890.0","Feb2013","140.0","31464.0","224.74285714285713","11200.0","649.0","142.0","7.0"
"DD","DMK","URT","15764.0","68.0","49191.0","36865.0","5686252.0","1031812.0","Nov2013","150","28350","189.0","10500","552.0","164.0","7.0"
"DD","DMK","URT","15316.0","67.0","49191.0","36865.0","5686252.0","1031812.0","Dec2013","155","29295","189.0","10760","552.0","164.0","7.0"
"DD","DMK","URT","14755.0","68.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Jan2014","155","29295","189.0","10540","552.0","164.0","7.0"
"DD","DMK","URT","13801.0","70.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Feb2014","140","26460","189.0","9520","552.0","164.0","7.0"
"DD","DMK","URT","15628.0","70.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Mar2014","155","29295","189.0","10560","552.0","164.0","7.0"
"DD","DMK","URT","14967.0","72.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Apr2014","150","28350","189.0","10500","552.0","164.0","7.0"
"DD","DMK","URT","14705.0","73.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","May2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","DMK","URT","14727.0","82.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Jul2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","DMK","URT","15520.0","80.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Aug2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","DMK","URT","13886.0","77.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Sep2014","150","28350","189.0","10500","552.0","164.0","7.0"
"DD","DMK","URT","14639.0","71.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Oct2014","155","29295","189.0","10730","552.0","164.0","7.0"
"DD","DMK","URT","14188.0","68.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Nov2014","150","28350","189.0","9900","552.0","164.0","7.0"
"DD","URT","DMK","15920.0","68.0","36865.0","49191.0","1031812.0","5686252.0","Nov2013","150","28350","189.0","10200","552.0","164.0","7.0"
"DD","URT","DMK","15422.0","67.0","36865.0","49191.0","1031812.0","5686252.0","Dec2013","155","29295","189.0","10630","552.0","164.0","7.0"
"DD","URT","DMK","14585.0","68.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jan2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","URT","DMK","13646.0","70.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Feb2014","140","26460","189.0","9800","552.0","164.0","7.0"
"DD","URT","DMK","15271.0","70.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Mar2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","URT","DMK","14633.0","72.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Apr2014","150","28350","189.0","10500","552.0","164.0","7.0"
"DD","URT","DMK","14364.0","73.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","May2014","155","29295","189.0","10850","552.0","164.0","7.0"
"DD","URT","DMK","14789.0","82.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jul2014","155","29295","189.0","10850","552.0","164.0","7.0"
