"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Mar2013","DD","ROI","DMK","62.0","3100.0","50.0","4650.0","418.0"
"Mar2013","DD","SNO","DMK","62","4092","66.0","5580","521.0"
"Mar2013","DD","TST","DMK","62.0","10518.0","169.6451612903226","4960.0","718.0"
"Mar2013","DD","UBP","DMK","124.0","22196.0","179.0","7440.0","483.0"
"Mar2013","DD","URT","DMK","94","17766","189.0","6580","552.0"
"Mar2013","DD","UTH","DMK","155","29295","189.0","9300","451.0"
"Mar2013","DD","UTH","CNX","93","3162","34.0","7440","433.0"
"Mar2013","E8","CNX","HKT","9","1341","149.0","810","1181.0"
"Mar2013","E8","HKT","CNX","9","1341","149.0","810","1181.0"
"Mar2013","FD","CEI","DMK","93","15624","168.0","7440","666.0"
"Mar2013","FD","CNX","DMK","310","52080","168.0","23555","565.0"
"Mar2013","FD","CNX","HDY","62","10416","168.0","7750","1320.0"
"Mar2013","FD","CNX","HKT","62","10416","168.0","7750","1181.0"
"Mar2013","FD","DMK","CNX","310","52080","168.0","23085","565.0"
"Mar2013","FD","DMK","CEI","93","15624","168.0","7440","666.0"
"Mar2013","FD","DMK","HDY","248","41664","168.0","21075","772.0"
"Mar2013","FD","DMK","KBV","186","31248","168.0","14885","666.0"
"Mar2013","FD","DMK","KOP","31","5208","168.0","2330","579.0"
"Mar2013","FD","DMK","NST","93","15624","168.0","7110","610.0"
"Mar2013","FD","DMK","NAW","31","5208","168.0","2790","838.0"
"Mar2013","FD","DMK","HKT","279","46872","168.0","22765","689.0"
"Mar2013","FD","DMK","URT","93","15624","168.0","6655","552.0"
"Mar2013","FD","DMK","TST","93","15624","168.0","7890","718.0"
"Mar2013","FD","DMK","UBP","62","10416","168.0","4180","483.0"
"Mar2013","FD","DMK","UTH","93","15624","168.0","6185","451.0"
"Mar2013","FD","HDY","DMK","248","41664","168.0","20640","772.0"
"Mar2013","FD","HDY","CNX","62","10416","168.0","7445","1320.0"
"Mar2013","FD","HKT","DMK","279","46872","168.0","22630","689.0"
"Mar2013","FD","HKT","CNX","62","10416","168.0","7145","1181.0"
"Mar2013","FD","HKT","UTH","31","5208","168.0","3250","1135.0"
"Mar2013","FD","KBV","DMK","186","31248","168.0","14125","666.0"
"Mar2013","FD","KOP","DMK","31","5208","168.0","2330","579.0"
"Mar2013","FD","NAW","DMK","31","5208","168.0","2790","838.0"
"Mar2013","FD","NST","DMK","93","15624","168.0","6970","610.0"
"Mar2013","FD","TST","DMK","93","15624","168.0","7890","718.0"
"Mar2013","FD","UBP","DMK","62","10416","168.0","4035","483.0"
"Mar2013","FD","URT","DMK","93","15624","168.0","6810","552.0"
"Mar2013","FD","UTH","DMK","93","15624","168.0","6185","451.0"
"Mar2013","FD","UTH","HKT","31","5208","168.0","3410","1135.0"
"Mar2013","K8","CNX","KKC","8","80","10.0","920","480.0"
"Mar2013","K8","CNX","HGN","93","930","10.0","3255","119.0"
"Mar2013","K8","CNX","NNT","4","40","10.0","180","192.0"
"Mar2013","K8","CNX","PYY","15","150","10.0","375","87.0"
"Mar2013","K8","CNX","PHS","18","180","10.0","1080","259.0"
"Mar2013","K8","HGN","CNX","93","930","10.0","2945","119.0"
"Mar2013","K8","KKC","CNX","8","80","10.0","920","480.0"
"Mar2013","K8","NNT","CNX","4","40","10.0","180","192.0"
"Mar2013","K8","PHS","CNX","18","180","10.0","1080","259.0"
"Mar2013","K8","PYY","CNX","15","150","10.0","375","87.0"
